tweet,cleaning,case_folding,tokenize,stopword_removal,stemming,entity,Spam Detection
Evergreen bagi 52 bulan bonus. Hyundai Oilbank bagi 120 bulan bonus. Korang berapa bulan bonus dapat? Aku air soya bonus pun tak dapat. bercukur la.Translate post,Evergreen bagi  bulan bonus Hyundai Oilbank bagi  bulan bonus Korang berapa bulan bonus dapat Aku air soya bonus pun tak dapat bercukur laTranslate post,evergreen bagi  bulan bonus hyundai oilbank bagi  bulan bonus korang berapa bulan bonus dapat aku air soya bonus pun tak dapat bercukur latranslate post,"['evergreen', 'bagi', 'bulan', 'bonus', 'hyundai', 'oilbank', 'bagi', 'bulan', 'bonus', 'korang', 'berapa', 'bulan', 'bonus', 'dapat', 'aku', 'air', 'soya', 'bonus', 'pun', 'tak', 'dapat', 'bercukur', 'latranslate', 'post']","['evergreen', 'bonus', 'hyundai', 'oilbank', 'bonus', 'korang', 'bonus', 'air', 'soya', 'bonus', 'bercukur', 'latranslate', 'post']",evergreen bonus hyundai oilbank bonus korang bonus air soya bonus cukur latranslate post,Hyundai,ham
CAP BAGASI ERTIGA 2019 BERANGKAT KE BENGKEL MOBIL DI KOTA GRESIK JAWA TIMUR https://youtu.be/VKtl6RlsMcQ lewat @YouTubeTranslate post,CAP BAGASI ERTIGA  BERANGKAT KE BENGKEL MOBIL DI KOTA GRESIK JAWA TIMUR  lewat  post,cap bagasi ertiga  berangkat ke bengkel mobil di kota gresik jawa timur  lewat  post,"['cap', 'bagasi', 'ertiga', 'berangkat', 'ke', 'bengkel', 'mobil', 'di', 'kota', 'gresik', 'jawa', 'timur', 'lewat', 'post']","['cap', 'bagasi', 'ertiga', 'berangkat', 'bengkel', 'mobil', 'kota', 'gresik', 'jawa', 'timur', 'post']",cap bagasi ertiga berangkat bengkel mobil kota gresik jawa timur post,Suzuki,spam
"QS. Maryam ayat 4: Dan aku belum pernah kecewa dalam berdoa kepada-Mu, ya Tuhanku.",QS Maryam ayat  Dan aku belum pernah kecewa dalam berdoa kepadaMu ya Tuhanku,qs maryam ayat  dan aku belum pernah kecewa dalam berdoa kepadamu ya tuhanku,"['qs', 'maryam', 'ayat', 'dan', 'aku', 'belum', 'pernah', 'kecewa', 'dalam', 'berdoa', 'kepadamu', 'ya', 'tuhanku']","['qs', 'maryam', 'ayat', 'kecewa', 'berdoa', 'kepadamu', 'ya', 'tuhanku']",qs maryam ayat kecewa doa kepada ya tuhan,Daihatsu,ham
Civic Genio 1993 1.6CC Surat lengkap Plat 2026 Matic responsif Cat siram Okt 2021 Kaki2 baru d/b Bushing semua baru Oct 22 Ban baru Sept 22 Knalpot racing HKS AC dingin evaporator baru satu...,Civic Genio  CC Surat lengkap Plat  Matic responsif Cat siram Okt  Kaki baru db Bushing semua baru Oct  Ban baru Sept  Knalpot racing HKS AC dingin evaporator baru satu,civic genio  cc surat lengkap plat  matic responsif cat siram okt  kaki baru db bushing semua baru oct  ban baru sept  knalpot racing hks ac dingin evaporator baru satu,"['civic', 'genio', 'cc', 'surat', 'lengkap', 'plat', 'matic', 'responsif', 'cat', 'siram', 'okt', 'kaki', 'baru', 'db', 'bushing', 'semua', 'baru', 'oct', 'ban', 'baru', 'sept', 'knalpot', 'racing', 'hks', 'ac', 'dingin', 'evaporator', 'baru', 'satu']","['civic', 'genio', 'cc', 'surat', 'lengkap', 'plat', 'matic', 'responsif', 'cat', 'siram', 'okt', 'kaki', 'db', 'bushing', 'oct', 'ban', 'sept', 'knalpot', 'racing', 'hks', 'ac', 'dingin', 'evaporator']",civic genio cc surat lengkap plat matic responsif cat siram okt kaki db bushing oct ban sept knalpot racing hks ac dingin evaporator,Honda,ham
"Keputusan Masa Penuh Separuh Akhir 1 Piala Mitsubishi Electric AFF 2022 | Sabtu, 7 Januari 2023 MALAYSIA ?? 1-0 ?? THAILAND ⚽️ Faisal Halim 11' ▶️ Separuh Akhir 2 di Bangkok...",Keputusan Masa Penuh Separuh Akhir  Piala Mitsubishi Electric AFF   Sabtu  Januari  MALAYSIA    THAILAND  Faisal Halim   Separuh Akhir  di Bangkok,keputusan masa penuh separuh akhir  piala mitsubishi electric aff   sabtu  januari  malaysia    thailand  faisal halim   separuh akhir  di bangkok,"['keputusan', 'masa', 'penuh', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'sabtu', 'januari', 'malaysia', 'thailand', 'faisal', 'halim', 'separuh', 'akhir', 'di', 'bangkok']","['keputusan', 'penuh', 'separuh', 'piala', 'mitsubishi', 'electric', 'aff', 'sabtu', 'januari', 'malaysia', 'thailand', 'faisal', 'halim', 'separuh', 'bangkok']",putus penuh paruh piala mitsubishi electric aff sabtu januari malaysia thailand faisal halim paruh bangkok,Mitsubishi,ham
"Sempena kehangatan Piala AFF Mitsubishi Electric 2022, saya kongsikan bebenang sejarah nama #HarimauMalaya yang menjadi gelaran pasukan kebangsaan. Terdapat tiga cerita di sebalik nama asal...",Sempena kehangatan Piala AFF Mitsubishi Electric  saya kongsikan bebenang sejarah nama HarimauMalaya yang menjadi gelaran pasukan kebangsaan Terdapat tiga cerita di sebalik nama asal,sempena kehangatan piala aff mitsubishi electric  saya kongsikan bebenang sejarah nama harimaumalaya yang menjadi gelaran pasukan kebangsaan terdapat tiga cerita di sebalik nama asal,"['sempena', 'kehangatan', 'piala', 'aff', 'mitsubishi', 'electric', 'saya', 'kongsikan', 'bebenang', 'sejarah', 'nama', 'harimaumalaya', 'yang', 'menjadi', 'gelaran', 'pasukan', 'kebangsaan', 'terdapat', 'tiga', 'cerita', 'di', 'sebalik', 'nama', 'asal']","['sempena', 'kehangatan', 'piala', 'aff', 'mitsubishi', 'electric', 'kongsikan', 'bebenang', 'sejarah', 'nama', 'harimaumalaya', 'gelaran', 'pasukan', 'kebangsaan', 'cerita', 'sebalik', 'nama']",sempena hangat piala aff mitsubishi electric kongsi bebenang sejarah nama harimaumalaya gelar pasu bangsa cerita balik nama,Mitsubishi,spam
"Hari Perlawanan | Sabtu, 7 Januari 2023 Separuh Akhir 1 • Piala Mitsubishi Electric AFF 2022 ⚽️ MALAYSIA ?? ?️ ?? THAILAND ? 8.30 malam ini ? Stadium Nasional,...",Hari Perlawanan  Sabtu  Januari  Separuh Akhir   Piala Mitsubishi Electric AFF   MALAYSIA    THAILAND   malam ini  Stadium Nasional,hari perlawanan  sabtu  januari  separuh akhir   piala mitsubishi electric aff   malaysia    thailand   malam ini  stadium nasional,"['hari', 'perlawanan', 'sabtu', 'januari', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'thailand', 'malam', 'ini', 'stadium', 'nasional']","['perlawanan', 'sabtu', 'januari', 'separuh', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'thailand', 'malam', 'stadium', 'nasional']",lawan sabtu januari paruh piala mitsubishi electric aff malaysia thailand malam stadium nasional,Mitsubishi,spam
"Kesebelasan Utama & Pemain Simpanan Harimau Malaya Separuh Akhir 1 Piala Mitsubishi Electric AFF 2022 | Sabtu, 7 Januari 2023 ⚽️ MALAYSIA ?? ?️ ?? THAILAND ? 8.30 malam...",Kesebelasan Utama  Pemain Simpanan Harimau Malaya Separuh Akhir  Piala Mitsubishi Electric AFF   Sabtu  Januari   MALAYSIA    THAILAND   malam,kesebelasan utama  pemain simpanan harimau malaya separuh akhir  piala mitsubishi electric aff   sabtu  januari   malaysia    thailand   malam,"['kesebelasan', 'utama', 'pemain', 'simpanan', 'harimau', 'malaya', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'sabtu', 'januari', 'malaysia', 'thailand', 'malam']","['kesebelasan', 'utama', 'pemain', 'simpanan', 'harimau', 'malaya', 'separuh', 'piala', 'mitsubishi', 'electric', 'aff', 'sabtu', 'januari', 'malaysia', 'thailand', 'malam']",sebelas utama main simpan harimau malaya paruh piala mitsubishi electric aff sabtu januari malaysia thailand malam,Mitsubishi,spam
"Operasi Stesen LRT Bukit Jalil akan dilanjutkan sehingga jam 12.30 tengah malam pada 7 Januari 2023 sempena Perlawanan Bola Sepak Piala Mitsubishi Electric AFF 2022, Malaysia menentang Thailand...",Operasi Stesen LRT Bukit Jalil akan dilanjutkan sehingga jam  tengah malam pada  Januari  sempena Perlawanan Bola Sepak Piala Mitsubishi Electric AFF  Malaysia menentang Thailand,operasi stesen lrt bukit jalil akan dilanjutkan sehingga jam  tengah malam pada  januari  sempena perlawanan bola sepak piala mitsubishi electric aff  malaysia menentang thailand,"['operasi', 'stesen', 'lrt', 'bukit', 'jalil', 'akan', 'dilanjutkan', 'sehingga', 'jam', 'tengah', 'malam', 'pada', 'januari', 'sempena', 'perlawanan', 'bola', 'sepak', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'menentang', 'thailand']","['operasi', 'stesen', 'lrt', 'bukit', 'jalil', 'dilanjutkan', 'jam', 'malam', 'januari', 'sempena', 'perlawanan', 'bola', 'sepak', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'menentang', 'thailand']",operasi stesen lrt bukit jalil lanjut jam malam januari sempena lawan bola sepak piala mitsubishi electric aff malaysia tentang thailand,Mitsubishi,ham
"1-0 belum lagi bekal selesa untuk #HarimauMalaya ke Thailand. Bagi golongan suami yang bakal ke Bangkok untuk menyokong Harimau Malaya, pastikan restu isteri diperolehi terlebih dahulu. Jangan...", belum lagi bekal selesa untuk HarimauMalaya ke Thailand Bagi golongan suami yang bakal ke Bangkok untuk menyokong Harimau Malaya pastikan restu isteri diperolehi terlebih dahulu Jangan, belum lagi bekal selesa untuk harimaumalaya ke thailand bagi golongan suami yang bakal ke bangkok untuk menyokong harimau malaya pastikan restu isteri diperolehi terlebih dahulu jangan,"['belum', 'lagi', 'bekal', 'selesa', 'untuk', 'harimaumalaya', 'ke', 'thailand', 'bagi', 'golongan', 'suami', 'yang', 'bakal', 'ke', 'bangkok', 'untuk', 'menyokong', 'harimau', 'malaya', 'pastikan', 'restu', 'isteri', 'diperolehi', 'terlebih', 'dahulu', 'jangan']","['bekal', 'selesa', 'harimaumalaya', 'thailand', 'golongan', 'suami', 'bangkok', 'menyokong', 'harimau', 'malaya', 'pastikan', 'restu', 'isteri', 'diperolehi']",bekal selesa harimaumalaya thailand golong suami bangkok sokong harimau malaya pasti restu isteri oleh,Mitsubishi,spam
"Mobil Honda Jazz Kecelakaan di Depan Hotel Tiara Medan, Sopir Tewas Tertancap Besi PagarTranslate post",Mobil Honda Jazz Kecelakaan di Depan Hotel Tiara Medan Sopir Tewas Tertancap Besi PagarTranslate post,mobil honda jazz kecelakaan di depan hotel tiara medan sopir tewas tertancap besi pagartranslate post,"['mobil', 'honda', 'jazz', 'kecelakaan', 'di', 'depan', 'hotel', 'tiara', 'medan', 'sopir', 'tewas', 'tertancap', 'besi', 'pagartranslate', 'post']","['mobil', 'honda', 'jazz', 'kecelakaan', 'hotel', 'tiara', 'medan', 'sopir', 'tewas', 'tertancap', 'besi', 'pagartranslate', 'post']",mobil honda jazz celaka hotel tiara medan sopir tewas tancap besi pagartranslate post,Honda,ham
"Terima kasih kepada 62, 989 orang penyokong yang hadir menyaksikan aksi perlawanan separuh akhir pertama Piala Mitsubishi Electric AFF 2022, Malaysia lwn Thailand di Stadium Nasional, Bukit...",Terima kasih kepada   orang penyokong yang hadir menyaksikan aksi perlawanan separuh akhir pertama Piala Mitsubishi Electric AFF  Malaysia lwn Thailand di Stadium Nasional Bukit,terima kasih kepada   orang penyokong yang hadir menyaksikan aksi perlawanan separuh akhir pertama piala mitsubishi electric aff  malaysia lwn thailand di stadium nasional bukit,"['terima', 'kasih', 'kepada', 'orang', 'penyokong', 'yang', 'hadir', 'menyaksikan', 'aksi', 'perlawanan', 'separuh', 'akhir', 'pertama', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'lwn', 'thailand', 'di', 'stadium', 'nasional', 'bukit']","['terima', 'kasih', 'orang', 'penyokong', 'hadir', 'menyaksikan', 'aksi', 'perlawanan', 'separuh', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'lwn', 'thailand', 'stadium', 'nasional', 'bukit']",terima kasih orang sokong hadir saksi aksi lawan paruh piala mitsubishi electric aff malaysia lwn thailand stadium nasional bukit,Mitsubishi,ham
10,,,[],[],,Mazda,spam
Wow Honda Amaze 2023 Kembaran Brio dengan Pilihan Mesin Berturbo Charger Namun dengan Harga 100 Jutaan Baca selanjutnya di https://strategi.id/diatasroda/pr-1046479136/wow-honda-amaze-2023-kembaran...,Wow Honda Amaze  Kembaran Brio dengan Pilihan Mesin Berturbo Charger Namun dengan Harga  Jutaan Baca selanjutnya di ,wow honda amaze  kembaran brio dengan pilihan mesin berturbo charger namun dengan harga  jutaan baca selanjutnya di ,"['wow', 'honda', 'amaze', 'kembaran', 'brio', 'dengan', 'pilihan', 'mesin', 'berturbo', 'charger', 'namun', 'dengan', 'harga', 'jutaan', 'baca', 'selanjutnya', 'di']","['wow', 'honda', 'amaze', 'kembaran', 'brio', 'pilihan', 'mesin', 'berturbo', 'charger', 'harga', 'jutaan', 'baca']",wow honda amaze kembar brio pilih mesin berturbo charger harga juta baca,Honda,spam
"Hari Perlawanan | Selasa, 10 Januari 2023 Separuh Akhir 2 • Piala Mitsubishi Electric AFF 2022 ⚽️ THAILAND ?? (0) ?️ (1) ?? MALAYSIA ? 7:30pm (TH) ? 8:30pm (MY)...",Hari Perlawanan  Selasa  Januari  Separuh Akhir   Piala Mitsubishi Electric AFF   THAILAND      MALAYSIA  pm TH  pm MY,hari perlawanan  selasa  januari  separuh akhir   piala mitsubishi electric aff   thailand      malaysia  pm th  pm my,"['hari', 'perlawanan', 'selasa', 'januari', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'thailand', 'malaysia', 'pm', 'th', 'pm', 'my']","['perlawanan', 'selasa', 'januari', 'separuh', 'piala', 'mitsubishi', 'electric', 'aff', 'thailand', 'malaysia', 'pm', 'th', 'pm', 'my']",lawan selasa januari paruh piala mitsubishi electric aff thailand malaysia pm th pm my,Mitsubishi,spam
JUAL BMW E46 318I N42 TAUN 2002 SS LENGKAP OFF LAMA MESIN SEHAT HALUS MATIC SEHAT AC DINGIN POWER WINDOW DEPAN NORMAL BELAKANG OFF INTERIOR ORYGINAL RAPI HARGA 58 JUTA SAJA WA : 085692402419...,JUAL BMW E I N TAUN  SS LENGKAP OFF LAMA MESIN SEHAT HALUS MATIC SEHAT AC DINGIN POWER WINDOW DEPAN NORMAL BELAKANG OFF INTERIOR ORYGINAL RAPI HARGA  JUTA SAJA WA  ,jual bmw e i n taun  ss lengkap off lama mesin sehat halus matic sehat ac dingin power window depan normal belakang off interior oryginal rapi harga  juta saja wa  ,"['jual', 'bmw', 'e', 'i', 'n', 'taun', 'ss', 'lengkap', 'off', 'lama', 'mesin', 'sehat', 'halus', 'matic', 'sehat', 'ac', 'dingin', 'power', 'window', 'depan', 'normal', 'belakang', 'off', 'interior', 'oryginal', 'rapi', 'harga', 'juta', 'saja', 'wa']","['jual', 'bmw', 'e', 'i', 'n', 'taun', 'ss', 'lengkap', 'off', 'mesin', 'sehat', 'halus', 'matic', 'sehat', 'ac', 'dingin', 'power', 'window', 'normal', 'off', 'interior', 'oryginal', 'rapi', 'harga', 'juta', 'wa']",jual bmw e i n taun ss lengkap off mesin sehat halus matic sehat ac dingin power window normal off interior oryginal rapi harga juta wa,BMW,ham
